id,url,content_type,final_vote,exa_status,firecrawl_status,reasoning
1,https://axios-http.com/docs/intro,framework_docs,FIRECRAWL,truncated_code,complete,Firecrawl captured full CDN script tags while Exa truncated them
2,https://tanstack.com/table/latest/docs/guide/column-defs,framework_docs,FIRECRAWL,incomplete,complete,Firecrawl provided complete navigation and code examples
3,https://www.typescriptlang.org/docs/handbook/intro.html,documentation,EXA,clean,excessive_nav,Exa cleaner despite Firecrawl having more structure
4,https://www.solidjs.com/docs/latest,framework_docs,FIRECRAWL,incomplete,complete,Firecrawl preserved complete documentation structure
5,https://rxjs.dev/guide/overview,framework_docs,TIE,good,good,Both captured essential content well
6,https://umijs.org/docs/introduce/introduce,framework_docs,FIRECRAWL,english_only,bilingual,Firecrawl captured both Chinese and English content
7,https://formik.org/docs/overview,framework_docs,FIRECRAWL,truncated,complete,Firecrawl provided complete code examples and installation
8,https://tanstack.com/table/v8/docs/guide/migrating,framework_docs,FIRECRAWL,incomplete_code,complete,Firecrawl preserved complete migration guide
9,https://reactrouter.com/en/main,framework_docs,FIRECRAWL,minimal,complete,Firecrawl captured full splash page with badges and stats
10,https://mui.com/material-ui/getting-started/installation/,framework_docs,FIRECRAWL,incomplete_html,complete,Firecrawl preserved all code blocks with syntax highlighting
11,https://react-hook-form.com/get-started,framework_docs,FIRECRAWL,broken_code,complete,Exa had severely broken code blocks
12,https://mui.com/material-ui/migration/v5-style-changes/,framework_docs,FIRECRAWL,truncated,complete,Exa truncated mid-sentence
13,https://formik.org/docs/api/formik,framework_docs,FIRECRAWL,truncated,complete,Exa truncated at line 80
14,https://v2.chakra-ui.com/getting-started,framework_docs,FIRECRAWL,malformed,complete,Exa had malformed code blocks
15,https://github.com/streamich/react-use/blob/master/docs/useKeyPress.md,github_markdown,INVALID,empty,empty,Both returned empty content
16,https://github.com/streamich/react-use/blob/master/docs/createReducer.md,github_markdown,INVALID,empty,empty,Both returned empty content
17,https://github.com/streamich/react-use/blob/master/docs/useCookie.md,github_markdown,INVALID,empty,empty,Both returned empty content
18,https://github.com/streamich/react-use/blob/master/docs/useIsomorphicLayoutEffect.md,github_markdown,INVALID,empty,empty,Both returned empty content
